sim: transport SOCKET-FREE (S16.0a) — deterministic per seed; TB_SIM_SOCKET=1 restores the wire
sim: 100 runs, seed set 20001..20100
sim: shards 4 (TB_SIM_SHARDS; forked workers, contiguous seed partition, pooled in canonical run order)
sim: enemy scales hp 1.45 / dmg 1.3  |  pair vess/bram  |  ascension A0
sim: economy knobs (none — base config)  |  draft policy v2
sim: TB_SIM_ITEMS=1 — per-run item rows on (S17 pre-audit; additive only)
run 1: victory in act 3 — combats won 9, turns 66, cards 564, links 311
run 2: game_over in act 2 — combats won 6, turns 52, cards 402, links 208
run 3: game_over in act 2 — combats won 6, turns 52, cards 365, links 185
run 4: victory in act 3 — combats won 9, turns 43, cards 383, links 229
run 5: victory in act 3 — combats won 9, turns 57, cards 485, links 263
run 6: victory in act 3 — combats won 9, turns 41, cards 379, links 235
run 7: game_over in act 2 — combats won 6, turns 40, cards 321, links 168
run 8: victory in act 3 — combats won 9, turns 67, cards 509, links 299
run 9: victory in act 3 — combats won 9, turns 55, cards 422, links 243
run 10: victory in act 3 — combats won 9, turns 48, cards 371, links 220
run 11: game_over in act 3 — combats won 8, turns 69, cards 655, links 328
run 12: victory in act 3 — combats won 9, turns 56, cards 488, links 289
run 13: victory in act 3 — combats won 9, turns 42, cards 332, links 186
run 14: game_over in act 2 — combats won 5, turns 51, cards 401, links 179
run 15: victory in act 3 — combats won 9, turns 60, cards 483, links 298
run 16: victory in act 3 — combats won 9, turns 63, cards 543, links 338
run 17: game_over in act 2 — combats won 6, turns 38, cards 300, links 158
run 18: victory in act 3 — combats won 9, turns 59, cards 382, links 212
run 19: victory in act 3 — combats won 9, turns 39, cards 273, links 166
run 20: victory in act 3 — combats won 9, turns 70, cards 522, links 313
run 21: victory in act 3 — combats won 9, turns 54, cards 452, links 263
run 22: victory in act 3 — combats won 9, turns 41, cards 315, links 161
run 23: victory in act 3 — combats won 9, turns 38, cards 260, links 160
run 24: game_over in act 2 — combats won 6, turns 47, cards 358, links 169
run 25: game_over in act 2 — combats won 6, turns 43, cards 339, links 188
run 26: victory in act 3 — combats won 9, turns 40, cards 350, links 202
run 27: victory in act 3 — combats won 9, turns 62, cards 628, links 372
run 28: victory in act 3 — combats won 9, turns 47, cards 416, links 215
run 29: victory in act 3 — combats won 9, turns 52, cards 416, links 234
run 30: victory in act 3 — combats won 9, turns 58, cards 463, links 256
run 31: victory in act 3 — combats won 9, turns 42, cards 337, links 175
run 32: victory in act 3 — combats won 9, turns 43, cards 327, links 189
run 33: victory in act 3 — combats won 9, turns 46, cards 370, links 236
run 34: game_over in act 2 — combats won 6, turns 34, cards 223, links 115
run 35: victory in act 3 — combats won 9, turns 41, cards 325, links 186
run 36: game_over in act 2 — combats won 7, turns 58, cards 449, links 225
run 37: victory in act 3 — combats won 9, turns 45, cards 357, links 194
run 38: game_over in act 3 — combats won 8, turns 45, cards 314, links 175
run 39: victory in act 3 — combats won 9, turns 38, cards 292, links 181
run 40: victory in act 3 — combats won 9, turns 43, cards 363, links 204
run 41: victory in act 3 — combats won 9, turns 40, cards 355, links 190
run 42: victory in act 3 — combats won 9, turns 38, cards 314, links 197
run 43: game_over in act 2 — combats won 5, turns 41, cards 340, links 172
run 44: game_over in act 2 — combats won 6, turns 53, cards 412, links 219
run 45: game_over in act 2 — combats won 7, turns 60, cards 517, links 271
run 46: victory in act 3 — combats won 9, turns 42, cards 337, links 202
run 47: victory in act 3 — combats won 9, turns 48, cards 399, links 262
run 48: game_over in act 2 — combats won 5, turns 39, cards 292, links 133
run 49: victory in act 3 — combats won 9, turns 70, cards 556, links 350
run 50: victory in act 3 — combats won 9, turns 50, cards 325, links 210
run 51: game_over in act 2 — combats won 7, turns 43, cards 342, links 169
run 52: victory in act 3 — combats won 9, turns 47, cards 398, links 229
run 53: victory in act 3 — combats won 9, turns 35, cards 296, links 161
run 54: game_over in act 2 — combats won 7, turns 46, cards 388, links 202
run 55: victory in act 3 — combats won 9, turns 49, cards 367, links 208
run 56: victory in act 3 — combats won 9, turns 38, cards 312, links 195
run 57: victory in act 3 — combats won 9, turns 55, cards 416, links 245
run 58: victory in act 3 — combats won 9, turns 47, cards 418, links 256
run 59: victory in act 3 — combats won 9, turns 47, cards 360, links 214
run 60: game_over in act 2 — combats won 7, turns 51, cards 472, links 276
run 61: victory in act 3 — combats won 9, turns 47, cards 416, links 243
run 62: victory in act 3 — combats won 9, turns 53, cards 405, links 225
run 63: game_over in act 2 — combats won 6, turns 41, cards 301, links 139
run 64: game_over in act 2 — combats won 6, turns 30, cards 240, links 140
run 65: victory in act 3 — combats won 9, turns 39, cards 262, links 152
run 66: victory in act 3 — combats won 9, turns 45, cards 409, links 235
run 67: game_over in act 2 — combats won 6, turns 50, cards 405, links 229
run 68: game_over in act 2 — combats won 6, turns 31, cards 248, links 146
run 69: game_over in act 2 — combats won 6, turns 42, cards 317, links 149
run 70: game_over in act 2 — combats won 6, turns 55, cards 388, links 215
run 71: game_over in act 2 — combats won 7, turns 43, cards 285, links 170
run 72: victory in act 3 — combats won 9, turns 53, cards 437, links 248
run 73: victory in act 3 — combats won 9, turns 69, cards 602, links 330
run 74: game_over in act 2 — combats won 7, turns 68, cards 569, links 301
run 75: victory in act 3 — combats won 9, turns 48, cards 376, links 217
run 76: victory in act 3 — combats won 9, turns 43, cards 351, links 216
run 77: game_over in act 2 — combats won 6, turns 50, cards 402, links 201
run 78: game_over in act 2 — combats won 5, turns 43, cards 329, links 179
run 79: victory in act 3 — combats won 9, turns 51, cards 435, links 233
run 80: victory in act 3 — combats won 9, turns 41, cards 308, links 184
run 81: victory in act 3 — combats won 9, turns 42, cards 333, links 177
run 82: victory in act 3 — combats won 9, turns 49, cards 407, links 219
run 83: victory in act 3 — combats won 9, turns 49, cards 376, links 212
run 84: victory in act 3 — combats won 9, turns 44, cards 354, links 211
run 85: game_over in act 2 — combats won 5, turns 33, cards 251, links 120
run 86: game_over in act 2 — combats won 7, turns 37, cards 265, links 137
run 87: game_over in act 1 — combats won 3, turns 24, cards 161, links 77
run 88: victory in act 3 — combats won 9, turns 46, cards 336, links 176
run 89: victory in act 3 — combats won 9, turns 34, cards 347, links 191
run 90: victory in act 3 — combats won 9, turns 80, cards 710, links 437
run 91: game_over in act 2 — combats won 5, turns 34, cards 272, links 126
run 92: victory in act 3 — combats won 9, turns 36, cards 314, links 201
run 93: game_over in act 2 — combats won 6, turns 42, cards 336, links 164
run 94: victory in act 3 — combats won 9, turns 50, cards 408, links 245
run 95: victory in act 3 — combats won 9, turns 90, cards 681, links 409
run 96: victory in act 3 — combats won 9, turns 46, cards 342, links 196
run 97: victory in act 3 — combats won 9, turns 37, cards 291, links 188
run 98: victory in act 3 — combats won 9, turns 42, cards 283, links 159
run 99: victory in act 3 — combats won 9, turns 41, cards 305, links 198
run 100: victory in act 3 — combats won 9, turns 58, cards 402, links 235
##TBITEMS##{"run":1,"outcome":"victory","act":3,"characters":{"p1":"vess","p2":"bram"},"cards":{"rite_vigil":[1,0],"rite_toll":[0,1],"hollow_seam":[3,0],"banked_coals":[0,1],"ashfall":[1,0],"stitchblade":[0,1],"crack_the_seal":[0,1],"small_rites":[2,0],"body_blow":[1,1],"shared_burden":[1,0],"waxbound_oath":[0,1],"needlework":[1,0],"followthrough":[0,1],"seam_split":[0,1],"widows_arithmetic":[1,0],"counterargument":[0,1],"pyre_vault":[0,1],"forgefire":[1,0],"pinprick":[1,0],"bellringer":[0,1],"splinter":[0,1],"rendcall":[0,1],"firewatch":[1,0],"withering":[1,0]},"plays":{"jab":[1,23],"pinprick":[68,1],"patchwork":[20,0],"worn_knife":[8,0],"second_wind":[0,20],"rite_toll":[2,26],"hatpin":[20,1],"kindle":[0,12],"brace_up":[0,42],"rite_vigil":[12,0],"knuckle_crack":[0,19],"loose_stitch":[26,2],"opener":[0,23],"ashfall":[24,1],"stitchblade":[0,16],"hollow_seam":[28,0],"banked_coals":[0,14],"crack_the_seal":[1,20],"body_blow":[4,9],"shared_burden":[19,0],"small_rites":[27,0],"waxbound_oath":[0,8],"seam_split":[0,7],"needlework":[13,0],"counterargument":[0,9],"widows_arithmetic":[16,0],"followthrough":[0,3],"pyre_vault":[0,5],"splinter":[0,5],"bellringer":[0,4],"withering":[3,0],"rendcall":[0,1],"firewatch":[1,0]},"relics":["ashen_censer","braided_censer","covetous_psalter","hexwrought_locket","kindling_bundle","patient_bookmark","saints_marrow","sealed_reliquary","steadfast_icon","threadspool_reliquary","vigil_lamp"]}
##TBITEMS##{"run":2,"outcome":"game_over","act":2,"characters":{"p1":"vess","p2":"bram"},"cards":{"rite_vigil":[1,0],"rite_pyre_brand":[0,1],"tally_of_griefs":[1,0],"bellringer":[0,1],"stoke":[1,0],"cinch":[0,1],"withering":[1,0],"crossing_blow":[0,1],"splinter":[1,0],"needle_wall":[0,1],"gravebloom":[1,0],"followthrough":[0,1],"hammerfall":[1,0],"seam_split":[0,1],"inkwell_curse":[1,0],"seeding_curse":[1,0],"two_as_one":[0,2],"seamripper":[0,1],"saturate":[1,0],"second_wind":[0,1],"pitchfire":[1,0],"thornward":[1,0]},"plays":{"brace_up":[0,29],"worn_knife":[12,0],"jab":[0,18],"hatpin":[15,0],"loose_stitch":[23,1],"opener":[0,16],"rite_vigil":[11,0],"pinprick":[47,0],"second_wind":[2,13],"patchwork":[37,0],"rite_pyre_brand":[0,12],"kindle":[1,9],"knuckle_crack":[0,15],"stoke":[4,0],"cinch":[0,7],"tally_of_griefs":[14,0],"bellringer":[0,4],"splinter":[10,1],"needle_wall":[0,12],"withering":[17,1],"crossing_blow":[0,7],"gravebloom":[3,1],"seam_split":[0,3],"followthrough":[0,6],"hammerfall":[7,0],"seeding_curse":[11,1],"inkwell_curse":[4,0],"two_as_one":[0,5],"saturate":[7,1],"pitchfire":[8,0],"seamripper":[0,1],"thornward":[6,0]},"relics":["chord_of_the_choir","covetous_psalter","needlecase_of_saint_morrow","pulsekeepers_ring","vigil_lamp"]}
##TBITEMS##{"run":3,"outcome":"game_over","act":2,"characters":{"p1":"vess","p2":"bram"},"cards":{"rite_shroud":[1,0],"rite_pyre_brand":[0,1],"stitchblade":[1,0],"stokers_due":[0,1],"aftershock":[1,0],"burr_shell":[0,1],"graverust":[1,0],"two_as_one":[0,1],"square_up":[1,0],"lashing_coil":[1,0],"patience":[0,1],"needlework":[1,0],"ash_harvest":[0,2],"needle_wall":[1,1],"stamp_out":[0,1],"call_and_answer":[1,0],"inkwell_curse":[1,0]},"plays":{"loose_stitch":[19,2],"hatpin":[25,1],"kindle":[0,9],"brace_up":[0,32],"patchwork":[25,0],"second_wind":[0,12],"opener":[3,16],"pinprick":[38,0],"worn_knife":[17,0],"rite_pyre_brand":[0,13],"knuckle_crack":[0,14],"jab":[0,18],"stokers_due":[1,4],"aftershock":[5,1],"burr_shell":[1,12],"rite_shroud":[13,0],"stitchblade":[5,0],"graverust":[10,0],"two_as_one":[0,10],"square_up":[7,0],"patience":[1,10],"lashing_coil":[11,0],"ash_harvest":[0,4],"needlework":[7,0],"needle_wall":[7,7],"stamp_out":[0,2],"call_and_answer":[1,0],"inkwell_curse":[2,0]},"relics":["covetous_psalter","drawn_curtain","knotted_votive","pulsekeepers_ring","twin_phylactery","vigil_lamp"]}
##TBITEMS##{"run":4,"outcome":"victory","act":3,"characters":{"p1":"vess","p2":"bram"},"cards":{"rite_shroud":[1,0],"rite_pyre_brand":[0,1],"pinprick":[1,0],"share_the_fire":[0,1],"shared_burden":[1,0],"crack_the_seal":[2,0],"splinter":[0,2],"burr_shell":[0,1],"selvage":[1,0],"hammerfall":[0,2],"crossguard":[1,0],"pale_unmaking":[1,0],"stamp_out":[0,1],"carrion_lace":[1,0],"crossing_blow":[0,1],"measured_cut":[0,1],"seeding_curse":[1,0],"fan_the_flames":[0,1],"thousand_pins":[1,0],"relentless":[0,1],"stokers_due":[1,0]},"plays":{"brace_up":[0,24],"hatpin":[13,3],"pinprick":[51,2],"worn_knife":[12,0],"second_wind":[0,10],"kindle":[1,12],"patchwork":[30,1],"rite_shroud":[17,0],"jab":[0,16],"knuckle_crack":[0,13],"rite_pyre_brand":[0,17],"loose_stitch":[15,1],"opener":[0,17],"share_the_fire":[0,13],"shared_burden":[8,0],"splinter":[1,17],"burr_shell":[0,11],"crack_the_seal":[16,0],"crossguard":[11,0],"hammerfall":[0,8],"stamp_out":[0,4],"selvage":[3,0],"pale_unmaking":[9,0],"carrion_lace":[5,0],"crossing_blow":[0,6],"measured_cut":[0,4],"seeding_curse":[6,0],"fan_the_flames":[0,4],"thousand_pins":[2,0]},"relics":["ashen_censer","braided_censer","chord_of_the_choir","covetous_psalter","drawn_curtain","hexwrought_locket","iron_girdle","kindling_bundle","needlecase_of_saint_morrow","patient_bookmark","pulsekeepers_ring","scar_votive","threadspool_reliquary"]}
##TBITEMS##{"run":5,"outcome":"victory","act":3,"characters":{"p1":"vess","p2":"bram"},"cards":{"rite_votive":[1,0],"rite_mourners_step":[0,1],"seeding_curse":[2,0],"crossing_blow":[0,1],"soot_mark":[1,0],"eye_of_the_loom":[0,1],"pinprick":[2,0],"hold_the_line":[0,1],"backdraft":[1,0],"quiet_mending":[0,1],"crack_the_seal":[1,1],"pummel":[0,1],"fan_the_flames":[1,0],"wardknot":[0,1],"immovable":[0,1],"forgefire":[1,0],"withering":[1,0],"counterargument":[0,1],"splinter":[0,1],"pale_unmaking":[1,0],"thornward":[1,0],"followthrough":[0,2],"ashfall":[1,0]},"plays":{"loose_stitch":[26,1],"opener":[3,22],"pinprick":[79,0],"brace_up":[2,16],"patchwork":[41,0],"hatpin":[16,0],"kindle":[2,8],"rite_mourners_step":[1,14],"rite_votive":[27,1],"knuckle_crack":[0,14],"worn_knife":[12,0],"second_wind":[0,11],"jab":[0,12],"soot_mark":[14,0],"crossing_blow":[0,16],"seeding_curse":[24,1],"eye_of_the_loom":[0,12],"backdraft":[16,0],"hold_the_line":[2,5],"quiet_mending":[0,3],"fan_the_flames":[12,0],"crack_the_seal":[16,5],"wardknot":[0,6],"pummel":[0,7],"forgefire":[3,0],"withering":[7,0],"splinter":[0,6],"immovable":[0,3],"counterargument":[0,4],"pale_unmaking":[7,0],"ashfall":[3,0],"thornward":[2,0],"followthrough":[0,3]},"relics":["braided_censer","census_of_wounds","drawn_curtain","hexwrought_locket","knotted_votive","loom_of_two_hands","pulsekeepers_ring","scar_votive","sealed_reliquary","threadspool_reliquary","tithing_bowl","wedding_knife"]}
##TBITEMS##{"run":6,"outcome":"victory","act":3,"characters":{"p1":"vess","p2":"bram"},"cards":{"rite_vigil":[1,0],"rite_pyre_brand":[0,1],"seeding_curse":[3,0],"bellringer":[0,2],"firewatch":[1,0],"borrowed_hour":[2,0],"final_bell":[0,1],"patience":[1,0],"needles_verdict":[2,0],"aftershock":[0,1],"brand":[2,0],"wind_up":[0,1],"twinned_cut":[0,1],"followthrough":[0,1],"dig_in":[1,0],"measured_cut":[0,1],"graverust":[1,0],"thousand_pins":[1,0],"haymaker":[0,1],"avalanche":[0,1],"crack_the_seal":[0,1]},"plays":{"loose_stitch":[19,0],"pinprick":[41,0],"brace_up":[1,12],"patchwork":[19,0],"hatpin":[15,1],"second_wind":[0,15],"kindle":[0,13],"jab":[1,14],"rite_vigil":[13,0],"opener":[0,17],"worn_knife":[10,0],"rite_pyre_brand":[0,10],"knuckle_crack":[0,11],"seeding_curse":[25,0],"bellringer":[0,10],"firewatch":[11,0],"borrowed_hour":[23,0],"patience":[16,0],"final_bell":[0,13],"brand":[11,1],"aftershock":[0,3],"needles_verdict":[20,0],"wind_up":[0,9],"followthrough":[0,2],"measured_cut":[0,3],"dig_in":[5,0],"twinned_cut":[1,4],"graverust":[2,0],"thousand_pins":[3,0],"haymaker":[0,2],"crack_the_seal":[0,1],"avalanche":[0,2]},"relics":["drawn_curtain","hexwrought_locket","iron_girdle","knotted_votive","loom_of_two_hands","needlecase_of_saint_morrow","saints_marrow","scar_votive","sealed_reliquary","threadspool_reliquary","vigil_lamp"]}
##TBITEMS##{"run":7,"outcome":"game_over","act":2,"characters":{"p1":"vess","p2":"bram"},"cards":{"rite_votive":[1,0],"rite_mourners_step":[0,1],"wardknot":[1,0],"crack_the_seal":[0,1],"ashfall":[1,0],"quickening":[0,1],"two_as_one":[1,0],"tithe_of_thread":[0,1],"stand_fast":[1,0],"selvage":[0,1],"twinned_cut":[1,0],"pyre_vault":[0,1],"seamripper":[0,1],"spite_stitch":[1,0],"body_blow":[0,1],"kindle":[1,0],"small_rites":[1,0],"square_up":[0,1],"thornward":[1,0],"tally_of_griefs":[1,0],"stamp_out":[0,1],"avalanche":[1,0],"splinter":[0,1]},"plays":{"rite_votive":[16,1],"opener":[1,18],"patchwork":[25,0],"brace_up":[1,20],"hatpin":[15,0],"jab":[0,13],"pinprick":[39,4],"knuckle_crack":[0,12],"second_wind":[0,7],"rite_mourners_step":[0,14],"worn_knife":[12,0],"kindle":[3,10],"loose_stitch":[18,0],"crack_the_seal":[1,13],"quickening":[0,11],"wardknot":[7,0],"ashfall":[14,0],"selvage":[0,4],"two_as_one":[4,0],"stand_fast":[9,0],"tithe_of_thread":[0,1],"seamripper":[0,4],"twinned_cut":[4,0],"pyre_vault":[0,5],"spite_stitch":[5,0],"small_rites":[2,0],"thornward":[3,0],"body_blow":[0,1],"square_up":[0,2],"tally_of_griefs":[1,0],"splinter":[0,1]},"relics":["census_of_wounds","ember_coal","hungry_whetstone","steadfast_icon","whetstone_psalm"]}
##TBITEMS##{"run":8,"outcome":"victory","act":3,"characters":{"p1":"vess","p2":"bram"},"cards":{"rite_vigil":[1,0],"rite_mourners_step":[0,1],"crack_the_seal":[1,0],"hammerfall":[0,2],"eye_for_an_opening":[1,0],"selvage":[0,1],"small_rites":[2,0],"followthrough":[0,2],"pitchfire":[1,0],"cinch":[0,1],"shroudwork":[1,0],"thornward":[1,0],"drumbeat":[0,1],"quiet_mending":[0,1],"rend_the_weave":[1,0],"wind_up":[0,1],"soot_mark":[1,0],"keepsake":[0,1],"seeding_curse":[1,0],"roundhouse":[0,1],"two_as_one":[1,0],"splinter":[0,1],"brand":[1,0],"shared_sigil":[1,0],"spark":[1,0],"festering_knot":[1,0]},"plays":{"hatpin":[13,0],"kindle":[0,15],"worn_knife":[15,0],"second_wind":[0,17],"jab":[0,17],"loose_stitch":[25,2],"patchwork":[25,0],"opener":[1,21],"pinprick":[50,2],"brace_up":[0,38],"rite_mourners_step":[0,17],"knuckle_crack":[0,13],"rite_vigil":[14,0],"crack_the_seal":[13,0],"hammerfall":[0,26],"eye_for_an_opening":[5,1],"selvage":[1,5],"pitchfire":[13,1],"shroudwork":[14,0],"cinch":[0,13],"followthrough":[0,9],"small_rites":[18,1],"thornward":[15,0],"quiet_mending":[1,5],"drumbeat":[1,8],"soot_mark":[8,0],"wind_up":[2,15],"keepsake":[0,3],"rend_the_weave":[7,0],"seeding_curse":[13,0],"roundhouse":[0,8],"two_as_one":[5,0],"brand":[3,0],"splinter":[0,1],"spark":[4,0],"shared_sigil":[4,0],"festering_knot":[1,0]},"relics":["ashen_censer","chord_of_the_choir","covetous_psalter","drawn_curtain","needlecase_of_saint_morrow","pulsekeepers_ring","sealed_reliquary","vigil_lamp","wedding_knife"]}
